data_item,version_id,description,interpretation,data_structure,length_old,min_length,max_length,conf_length,table_id,function_area,date,modification,section,anchor,owl_gen
6,7,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,227,,227,,362,,10/26/07,O,2.14.9.6,ch02.html#Heading173,FALSE
6,8,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,,,,,362,,3/6/11,O,2.14.9.6,ch02.html#Heading166,FALSE
6,9,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,0,0,0,,362,,3/17/14,O,2.14.9.6,ch02.html#Heading182,FALSE
6,61,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,227,,227,,362,,5/8/07,O,2.15.9.6,ch02.html#Heading218,FALSE
6,81,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,0,0,0,,362,,3/10/13,O,2.14.9.6,ch02.html#Heading166,FALSE
6,91,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,0,,,,362,,11/2/14,O,2.14.9.6,ch02.html#Heading182,FALSE
6,92,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,0,,,,362,,7/13/15,O,2.14.9.6,ch02.html#Heading182,FALSE
7,2,Date / Time of message,Zeitpunkt der Nachrichtenerstellung,TS,26,,26,,0,,11/25/95,O,3.2.7,hl7chp3.html#Heading10,FALSE
7,3,Date / Time of Message,Zeitpunkt der Nachrichtenerstellung,TS,26,,26,,0,O,,O,2.24.1.7,ch2.htm#Heading318,FALSE
7,4,Date/Time Of Message,Zeitpunkt Nachrichtenerstellung,TS,26,,26,,0,,4/14/99,O,11.2.7,ch11.html#Heading39,FALSE
7,5,Date/Time Of Message,Zeitpunkt Nachrichtenerstellung,TS,26,,26,,0,,10/28/00,O,2.16.9.7,ch02.htm#Heading451,FALSE
7,6,Date/Time Of Message,Zeitpunkt Nachrichtenerstellung,TS,26,,26,,0,,8/22/03,O,2.15.9.7,ch02.html#Heading219,FALSE
7,7,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,24,,24,,0,,10/26/07,O,2.14.9.7,ch02.html#Heading174,FALSE
7,8,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,,,,,0,,3/6/11,O,2.14.9.7,ch02.html#Heading167,FALSE
7,9,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,0,0,0,,0,,3/17/14,O,2.14.9.7,ch02.html#Heading183,FALSE
7,61,Date/Time Of Message,Zeitpunkt Nachrichtenerstellung,TS,26,,26,,0,,5/8/07,O,2.15.9.7,ch02.html#Heading219,FALSE
7,81,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,0,0,0,,0,,3/10/13,O,2.14.9.7,ch02.html#Heading167,FALSE
7,91,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,0,,,,0,,11/2/14,O,2.14.9.7,ch02.html#Heading183,FALSE
7,92,Date/Time of Message,Zeitpunkt Nachrichtenerstellung,DTM,0,,,,0,,7/13/15,O,2.14.9.7,ch02.html#Heading183,FALSE
8,1,Security,Sicherheitsspezifikation,ST,40,,40,,0,CNT,11/25/95,O,,,FALSE
8,2,Security,Sicherheitsspezifikation,ST,40,,40,,0,,11/25/95,O,3.2.8,hl7chp3.html#Heading11,FALSE
8,3,Security,Sicherheitsspezifikation,ST,40,,40,,0,,,O,2.24.1.8,ch2.htm#Heading319,FALSE
8,4,Security,Sicherheitsspezifikation,ST,40,,40,,0,,4/14/99,O,11.6.3,ch11.html#Heading101,FALSE
8,5,Security,Sicherheitsspezifikation,ST,40,,40,,0,,10/28/00,O,2.16.9.8,ch02.htm#Heading452,FALSE
8,6,Security,Sicherheitsspezifikation,ST,40,,40,,0,,8/22/03,O,2.15.9.8,ch02.html#Heading220,FALSE
8,7,Security,Sicherheitsspezifikation,ST,40,,40,,0,,10/26/07,O,2.14.9.8,ch02.html#Heading175,FALSE
8,8,Security,Sicherheitsspezifikation,ST,,,,40=,0,,3/6/11,O,2.14.9.8,ch02.html#Heading168,FALSE
8,9,Security,Sicherheitsspezifikation,ST,0,0,0,40=,0,,3/17/14,O,2.14.9.8,ch02.html#Heading184,FALSE
8,61,Security,Sicherheitsspezifikation,ST,40,,40,,0,,5/8/07,O,2.15.9.8,ch02.html#Heading220,FALSE
8,81,Security,Sicherheitsspezifikation,ST,0,0,0,,0,,3/10/13,O,2.14.9.8,ch02.html#Heading168,FALSE
8,91,Security,Sicherheitsspezifikation,ST,0,,,,0,,11/2/14,O,2.14.9.8,ch02.html#Heading184,FALSE
8,92,Security,Sicherheitsspezifikation,ST,0,,,40=,0,,7/13/15,O,2.14.9.8,ch02.html#Heading184,FALSE
9,1,RECEIVING APPLICATION,empfangender Bereich,ST,15,,15,,0,CNT,11/25/95,O,,,FALSE
9,2,Message type,Nachrichtentyp und Ereigniscode,CM_MSG,7,,7,,76,,11/25/95,O,3.2.9,hl7chp3.html#Heading12,FALSE
9,3,Message Type,Nachrichtentyp und Ereigniscode,CM_MSG,7,,7,,0,,,O,2.24.1.9,ch2.htm#Heading320,FALSE
9,4,Message Type,Nachrichtentyp und Ereigniscode,MSG,7,,7,,76,,4/14/99,O,11.3.3,ch11.html#Heading43,FALSE
9,5,Message Type,Nachrichtentyp und Ereigniscode,MSG,15,,15,,76,,10/28/00,O,2.16.9.9,ch02.htm#Heading453,FALSE
9,6,Message Type,Nachrichtentyp und Ereigniscode,MSG,15,,15,,0,,8/22/03,O,2.15.9.9,ch02.html#Heading221,FALSE
9,7,Message Type,Nachrichtentyp und Ereigniscode,MSG,15,,15,,0,,10/26/07,O,2.14.9.9,ch02.html#Heading176,FALSE
9,8,Message Type,Nachrichtentyp und Ereigniscode,MSG,,,,,0,,3/6/11,O,2.14.9.9,ch02.html#Heading169,FALSE
9,9,Message Type,Nachrichtentyp und Ereigniscode,MSG,0,0,0,,0,,3/17/14,O,2.14.9.9,ch02.html#Heading185,FALSE
9,61,Message Type,Nachrichtentyp und Ereigniscode,MSG,15,,15,,0,,5/8/07,O,2.15.9.9,ch02.html#Heading221,FALSE
9,81,Message Type,Nachrichtentyp und Ereigniscode,MSG,0,0,0,,0,,3/10/13,O,2.14.9.9,ch02.html#Heading169,FALSE
9,91,Message Type,Nachrichtentyp und Ereigniscode,MSG,0,,,,0,,11/2/14,O,2.14.9.9,ch02.html#Heading185,FALSE
9,92,Message Type,Nachrichtentyp und Ereigniscode,MSG,0,,,,0,,7/13/15,O,2.14.9.9,ch02.html#Heading185,FALSE
10,1,DATE/TIME OF MESSAGE,Zeitpunkt Nachrichtenerstellung,TS,19,,19,,0,CNT,11/25/95,O,,,FALSE
10,2,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,11/25/95,O,2.10.2.2,hl7chp2.html#Heading104,FALSE
10,3,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,,O,2.24.1,ch2.htm#Heading321,FALSE
10,4,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,4/14/99,O,2.24.2.2,ch2.html#Heading415,FALSE
10,5,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,10/28/00,O,2.16.9.10,ch02.htm#Heading454,FALSE
10,6,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,8/22/03,O,2.15.8.2,ch02.html#Heading206,FALSE
10,7,Message Control ID,Nachrichtenkontrollnummer,ST,199,,199,,0,,10/26/07,O,2.14.8.2,ch02.html#Heading159,FALSE
10,8,Message Control ID,Nachrichtenkontrollnummer,ST,1..199,1,199,=,0,,3/6/11,O,2.14.8.2,ch02.html#Heading153,FALSE
10,9,Message Control ID,Nachrichtenkontrollnummer,ST,1..199,1,199,=,0,,3/17/14,O,2.14.8.2,ch02.html#Heading168,FALSE
10,61,Message Control ID,Nachrichtenkontrollnummer,ST,20,,20,,0,,5/8/07,O,2.15.8.2,ch02.html#Heading206,FALSE
10,81,Message Control ID,Nachrichtenkontrollnummer,ST,1..199,1,199,,0,,3/10/13,O,2.14.8.2,ch02.html#Heading153,FALSE
10,91,Message Control ID,Nachrichtenkontrollnummer,ST,1..199,,,,0,,11/2/14,O,2.14.8.2,ch02.html#Heading168,FALSE
10,92,Message Control ID,Nachrichtenkontrollnummer,ST,1..199,1,199,=,0,,7/13/15,O,2.14.9.10,ch02.html#Heading186,FALSE
11,2,Processing ID,Verarbeitungsmodus,ID,1,,1,,103,,11/25/95,O,2.10.1.11,hl7chp2.html#Heading95,FALSE
11,3,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,,O,2.24.1.11,ch2.htm#Heading322,FALSE
11,4,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,4/14/99,O,2.24.1.11,ch2.html#Heading402,FALSE
11,5,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,10/28/00,O,2.16.9.11,ch02.htm#Heading455,FALSE
11,6,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,8/22/03,O,2.15.9.11,ch02.html#Heading223,FALSE
11,7,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,10/26/07,O,2.14.9.11,ch02.html#Heading178,TRUE
11,8,Processing ID,Verarbeitungsmodus,PT,,,,,0,,3/6/11,O,2.14.9.11,ch02.html#Heading171,FALSE
11,9,Processing ID,Verarbeitungsmodus,PT,0,0,0,,0,,3/17/14,O,2.14.9.11,ch02.html#Heading187,FALSE
11,61,Processing ID,Verarbeitungsmodus,PT,3,,3,,0,,5/8/07,O,2.15.9.11,ch02.html#Heading223,FALSE
11,81,Processing ID,Verarbeitungsmodus,PT,0,0,0,,0,,3/10/13,O,2.14.9.11,ch02.html#Heading171,FALSE
11,91,Processing ID,Verarbeitungsmodus,PT,0,,,,0,,11/2/14,O,2.14.9.11,ch02.html#Heading187,FALSE
11,92,Processing ID,Verarbeitungsmodus,PT,0,,,,0,,7/13/15,O,2.14.9.11,ch02.html#Heading187,FALSE
12,1,MESSAGE TYPE,Nachrichtentyp,ID,7,,7,,76,CNT,11/25/95,O,,,FALSE
12,2,Version ID,HL7-Versionsnummer,ID,8,,8,,104,,11/25/95,O,2.10.1.12,hl7chp2.html#Heading96,FALSE
12,3,Version ID,HL7-Versionsnummer,ID,8,,8,,104,,,O,2.24.1.12,ch2.htm#Heading323,FALSE
12,4,Version ID,HL7-Versionsnummer,VID,60,,60,,104,,4/14/99,O,2.24.1.12,ch2.html#Heading403,FALSE
12,5,Version ID,HL7-Versionsnummer,VID,60,,60,,104,,10/28/00,O,2.16.9.12,ch02.htm#Heading456,FALSE
12,6,Version ID,HL7-Versionsnummer,VID,60,,60,,0,,8/22/03,O,2.15.9.12,ch02.html#Heading224,FALSE
12,7,Version ID,HL7-Versionsnummer,VID,60,,60,,0,,10/26/07,O,2.14.9.12,ch02.html#Heading179,TRUE
12,8,Version ID,HL7-Versionsnummer,VID,,,,,0,,3/6/11,O,2.14.9.12,ch02.html#Heading172,FALSE
12,9,Version ID,HL7-Versionsnummer,VID,0,0,0,,0,,3/17/14,O,2.14.9.12,ch02.html#Heading188,FALSE
12,61,Version ID,HL7-Versionsnummer,VID,60,,60,,0,,5/8/07,O,2.15.9.12,ch02.html#Heading224,FALSE
12,81,Version ID,HL7-Versionsnummer,VID,0,0,0,,0,,3/10/13,O,2.14.9.12,ch02.html#Heading172,FALSE
12,91,Version ID,HL7-Versionsnummer,VID,0,,,,0,,11/2/14,O,2.14.9.12,ch02.html#Heading188,FALSE
12,92,Version ID,HL7-Versionsnummer,VID,0,,,,0,,7/13/15,O,2.14.9.12,ch02.html#Heading188,FALSE
13,1,MESSAGE CONTROL ID,Nachrichtenkontrollnummer,ST,20,,20,,0,CNT,11/25/95,O,,,FALSE
13,2,Sequence number,Laufende Nummer der Nachricht,NM,15,,15,,0,,11/25/95,O,2.10.1.13,hl7chp2.html#Heading97,FALSE
13,3,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,1/19/07,O,2.24.1.13,ch2.htm#Heading324,FALSE
13,4,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,1/19/07,O,2.24.1.13,ch2.html#Heading404,FALSE
13,5,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,1/19/07,O,2.16.9.13,ch02.htm#Heading457,FALSE
13,6,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,1/19/07,O,2.15.9.13,ch02.html#Heading225,FALSE
13,7,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,10/26/07,O,2.14.9.13,ch02.html#Heading180,FALSE
13,8,Sequence Number,Laufende Nummer der Nachricht,NM,,,,,0,,3/6/11,O,2.14.9.13,ch02.html#Heading173,FALSE
13,9,Sequence Number,Laufende Nummer der Nachricht,NM,0,0,0,,0,,3/17/14,O,2.14.9.13,ch02.html#Heading189,FALSE
13,61,Sequence Number,Laufende Nummer der Nachricht,NM,15,,15,,0,,5/8/07,O,2.15.9.13,ch02.html#Heading225,FALSE
13,81,Sequence Number,Laufende Nummer der Nachricht,NM,0,0,0,,0,,3/10/13,O,2.14.9.13,ch02.html#Heading173,FALSE
13,91,Sequence Number,Laufende Nummer der Nachricht,NM,0,,,,0,,11/2/14,O,2.14.9.13,ch02.html#Heading189,FALSE
13,92,Sequence Number,Laufende Nummer der Nachricht,NM,0,,,,0,,7/13/15,O,2.14.9.13,ch02.html#Heading189,FALSE
14,1,PROCESSING ID,Verarbeitungsstatus,ID,1,,1,,103,CNT,11/25/95,O,,,FALSE
14,2,Continuation pointer,Fortsetzungszeiger,ST,180,,180,,0,,11/25/95,O,2.10.1.14,hl7chp2.html#Heading98,FALSE
14,3,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,,O,2.24.1,ch2.htm#Heading325,FALSE
14,4,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,4/14/99,O,2.24.8.1,ch2.html#Heading470,FALSE
14,5,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,10/28/00,O,2.16.9.14,ch02.htm#Heading458,FALSE
14,6,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,8/22/03,O,2.15.4.1,ch02.html#Heading169,FALSE
14,7,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,10/26/07,O,2.14.4.1,ch02.html#Heading120,FALSE
14,8,Continuation Pointer,Fortsetzungszeiger,ST,,,,180=,0,,3/6/11,O,2.14.4.1,ch02.html#Heading118,FALSE
14,9,Continuation Pointer,Fortsetzungszeiger,ST,0,0,0,180=,0,,3/17/14,O,2.14.4.1,ch02.html#Heading129,FALSE
14,61,Continuation Pointer,Fortsetzungszeiger,ST,180,,180,,0,,5/8/07,O,2.15.4.1,ch02.html#Heading169,FALSE
14,81,Continuation Pointer,Fortsetzungszeiger,ST,0,0,0,,0,,3/10/13,O,2.14.4.1,ch02.html#Heading118,FALSE
14,91,Continuation Pointer,Fortsetzungszeiger,ST,0,,,,0,,11/2/14,O,2.14.4.1,ch02.html#Heading129,FALSE
14,92,Continuation Pointer,Fortsetzungszeiger,ST,0,,,180=,0,,7/13/15,O,2.14.4.1,ch02.html#Heading129,FALSE
15,1,VERSION ID,Versionsnummer von HL7,NM,8,,8,,104,CNT,11/25/95,O,,,FALSE
15,2,Accept acknowledgement type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,11/25/95,O,2.10.1.15,hl7chp2.html#Heading99,FALSE
15,3,Accept Acknowledgement Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,,O,2.24.1.15,ch2.htm#Heading326,FALSE
15,4,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,4/14/99,O,2.24.1.15,ch2.html#Heading406,FALSE
15,5,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,10/28/00,O,2.16.9.15,ch02.htm#Heading459,FALSE
15,6,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,8/22/03,O,2.15.9.15,ch02.html#Heading227,FALSE
15,7,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,10/26/07,O,2.14.9.15,ch02.html#Heading182,FALSE
15,8,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2..2,2,2,,155,,3/6/11,O,2.14.9.15,ch02.html#Heading175,FALSE
15,9,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2..2,2,2,,155,,3/17/14,O,2.14.9.15,ch02.html#Heading191,FALSE
15,61,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2,,2,,155,,5/8/07,O,2.15.9.15,ch02.html#Heading227,FALSE
15,81,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2..2,2,2,,155,,3/10/13,O,2.14.9.15,ch02.html#Heading175,FALSE
15,91,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2..2,,,,155,,11/2/14,O,2.14.9.15,ch02.html#Heading191,FALSE
15,92,Accept Acknowledgment Type,Bedingung für Empfangsbestätigung,ID,2..2,2,2,,155,,7/13/15,O,2.14.9.15,ch02.html#Heading191,FALSE
