comp_no,version_id,description,interpretation,table_id,modification,data_type_code,data_structure,last_change,section
4,5,text,Text,0,O,ST,ST,7/8/00,2-13
4,6,State or Province,Bundesland,0,O,ST,ST,9/1/03,
4,7,State or Province,Bundesland,0,O,ST,ST,10/28/07,
4,9,State or Province,Bundesland,0,O,ST,ST,3/18/14,
4,61,State or Province,Bundesland,0,O,ST,ST,5/10/07,
4,81,State or Province,Bundesland,0,O,ST,ST,3/29/13,
4,91,State or Province,Bundesland,0,O,ST,ST,11/2/14,
5,1,ACKNOWLEDGMENT CODE,Bestätigungscode,0,O,ST,ST,,
5,2,name of coding system,Kodiersystem,0,O,ST,ST,,
5,3,name of coding system,Kodiersystem,0,O,ST,ST,,
5,4,name of coding system,Kodiersystem,0,O,ST,ST,4/14/99,
5,5,name of coding system,Kodiersystem,396,O,IS,IS,7/8/00,
5,6,Zip or Postal Code,Postleitzahl,0,O,ST,ST,9/1/03,
5,7,Zip or Postal Code,Postleitzahl,0,O,ST,ST,10/28/07,
5,9,Zip or Postal Code,Postleitzahl,0,O,ST,ST,3/18/14,
5,61,Zip or Postal Code,Postleitzahl,0,O,ST,ST,5/10/07,
5,81,Zip or Postal Code,Postleitzahl,0,O,ST,ST,3/29/13,
5,91,Zip or Postal Code,Postleitzahl,0,O,ST,ST,11/2/14,
6,1,MESSAGE CONTROL ID,Nachrichtenkontrollnummer,0,O,ST,ST,,
6,2,alternate identifier,alternativer Schlüssel,0,O,ST,ST,,
6,3,alternate identifier,alternativer Schlüssel,0,O,ID,ID,,
6,4,alternate identifier,alternativer Schlüssel,0,O,ST,ST,4/14/99,
6,5,alternate identifier (ST),alternativer Schlüssel,0,O,ST,ST,7/8/00,
6,6,Country,Staat,399,O,ID,ID,9/1/03,
6,7,Country,Staat,399,O,ID,ID,10/26/07,
6,9,Country,Staat,399,O,ID,ID,3/18/14,
6,61,Country,Staat,399,O,ID,ID,5/10/07,
6,81,Country,Staat,399,O,ID,ID,3/29/13,
6,91,Country,Staat,399,O,ID,ID,11/2/14,
7,1,TEXT MESSAGE,Text für Fehlermeldung,0,O,ST,ST,,
7,2,alternate text,alternativer Text,0,O,ST,ST,,
7,3,alternate text,alternativer Text,0,O,ST,ST,,
7,4,alternate text,alternativer Text,0,O,ST,ST,4/14/99,
7,5,alternate text,alternativer Text,0,O,ST,ST,7/8/00,
7,6,Address Type,Typ der Adresse,190,O,ID,ID,9/1/03,
7,7,Address Type,Typ der Adresse,190,O,ID,ID,10/26/07,
7,9,Address Type,Typ der Adresse,190,O,ID,ID,3/18/14,
7,61,Address Type,Typ der Adresse,190,O,ID,ID,5/10/07,
7,81,Address Type,Typ der Adresse,190,O,ID,ID,3/29/13,
7,91,Address Type,Typ der Adresse,190,O,ID,ID,11/2/14,
8,1,FIELD SEPARATOR,Feldtrennzeichen,0,O,ST,ST,,
8,2,name of alternate coding system,alternatives Kodiersystem,0,O,ST,ST,,
8,3,name of alternate coding system,alternatives Kodiersystem,0,O,ST,ST,,
8,4,name of alternate coding system,alternatives Kodiersystem,0,O,ST,ST,4/14/99,
8,5,name of alternate coding system,alternatives Kodiersystem,396,O,IS,IS,7/8/00,
8,6,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,9/1/03,
8,7,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,10/28/07,
8,9,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,3/18/14,
8,61,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,5/10/07,
8,81,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,3/29/13,
8,91,Other Geographic Designation,sonst. geogr. Bezeichnung,0,O,ST,ST,11/2/14,
9,1,SENDING APPLICATION,sendender Bereich,0,O,ST,ST,,
9,2,Segment-ID,,0,O,ST,ST,,2-50
9,6,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,9/1/03,
9,7,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,10/28/07,
9,9,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,3/18/14,
9,61,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,5/10/07,
9,81,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,3/29/13,
9,91,Authorization Number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,11/2/14,
10,2,Sequence,,0,O,NM,NM,,2-50
10,3,sequence,,0,O,NM,NM,,
10,4,sequence,,0,O,NM,NM,4/14/99,
10,5,sequence,,0,O,NM,NM,7/8/00,
10,6,Date,Datum,0,O,DT,DT,9/1/03,
10,7,Date,Datum,0,O,DT,DT,10/28/07,
10,9,Date,Datum,0,O,DT,DT,3/18/14,
10,61,Date,Datum,0,O,DT,DT,5/10/07,
10,81,Date,Datum,0,O,DT,DT,3/29/13,
10,91,Date,Datum,0,O,DT,DT,11/2/14,
11,1,SECURITY,Sicherheitsspezifikation,0,O,ST,ST,,
11,2,Field-Position,,0,O,NM,NM,,2-50
11,6,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,9/1/03,
11,7,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,10/28/07,
11,9,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,3/18/14,
11,61,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,5/10/07,
11,81,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,3/29/13,
11,91,Source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,11/2/14,
12,1,RECEIVING APPLICATION,empfangender Bereich,0,O,ST,ST,,
12,2,Code Identifying Error,,0,O,CE,CE,,2-50
12,6,Invocation Event,Rechnungslegung bei,100,O,ID,ID,9/1/03,
12,7,Invocation Event,Rechnungslegung bei,100,O,ID,ID,10/26/07,
12,9,Invocation Event,Rechnungslegung bei,100,O,ID,ID,3/18/14,
12,61,Invocation Event,Rechnungslegung bei,100,O,ID,ID,5/10/07,
12,81,Invocation Event,Rechnungslegung bei,100,O,ID,ID,3/29/13,
12,91,Invocation Event,Rechnungslegung bei,100,O,ID,ID,11/2/14,
13,1,DATE/TIME OF MESSAGE,Zeitpunkt Nachrichtenerstellung,0,O,ST,ST,,
13,2,First data code value,Suchbegriff: Objektbereich,0,O,ST,ST,,2-53
13,3,first data code value,Suchbegriff: Objektbereich,0,O,ST,ST,,2-79
13,4,first data code value,Suchbegriff: Objektbereich,0,O,ST,ST,4/14/99,2-79
13,5,first data code value,Suchbegriff: Objektbereich,0,O,ST,ST,7/8/00,2-79
13,6,Date/time,Zeitpunkt,0,O,TS,TS,9/1/03,
13,7,Date/time,Zeitpunkt,0,O,DTM,DTM,10/28/07,
13,9,Date/time,Zeitpunkt,0,O,DTM,DTM,3/18/14,
13,61,Date/time,Zeitpunkt,0,O,TS,TS,5/10/07,
13,81,Date/time,Zeitpunkt,0,O,DTM,DTM,3/29/13,
13,91,Date/time,Zeitpunkt,0,O,DTM,DTM,11/2/14,
14,2,Last data code calue,Suchbegriff: Objektbereich,0,O,ST,ST,,2-53
14,3,Last data code calue,Suchbegriff: Objektbereich,0,O,ST,ST,2/2/01,2-53
14,4,Last data code calue,Suchbegriff: Objektbereich,0,O,ST,ST,2/2/01,2-53
14,5,Last data code calue,Suchbegriff: Objektbereich,0,O,ST,ST,2/2/01,2-53
14,6,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,9/1/03,
14,7,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,10/28/07,
14,9,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,3/18/14,
14,61,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,5/10/07,
14,81,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,3/29/13,
14,91,Channel Calibration Sensitivity Correction Factor,,0,O,NM,NM,11/2/14,
15,1,MESSAGE TYPE,Nachrichtentyp,0,O,ST,ST,,
15,2,Batch total 1,Gesamtzahl,0,O,NM,NM,,2-63
15,6,Channel Calibration Baseline,,0,O,NM,NM,9/1/03,
15,7,Channel Calibration Baseline,,0,O,NM,NM,10/28/07,
15,9,Channel Calibration Baseline,,0,O,NM,NM,3/18/14,
15,61,Channel Calibration Baseline,,0,O,NM,NM,5/10/07,
15,81,Channel Calibration Baseline,,0,O,NM,NM,3/29/13,
15,91,Channel Calibration Baseline,,0,O,NM,NM,11/2/14,
16,1,MESSAGE CONTROL ID,Nachrichtenkontrollnummer,0,O,ST,ST,,
16,2,Batch total 2,Gesamtzahl,0,O,NM,NM,,2-63
16,6,Channel Calibration Time Skew,,0,O,NM,NM,9/1/03,
16,7,Channel Calibration Time Skew,,0,O,NM,NM,10/28/07,
16,9,Channel Calibration Time Skew,,0,O,NM,NM,3/18/14,
16,61,Channel Calibration Time Skew,,0,O,NM,NM,5/10/07,
16,81,Channel Calibration Time Skew,,0,O,NM,NM,3/29/13,
16,91,Channel Calibration Time Skew,,0,O,NM,NM,11/2/14,
17,1,PROCESSING ID,Verarbeitungsstatus,0,O,ST,ST,,
17,2,Patient ID,Patient ID,0,O,ST,ST,,3-22
17,6,Channel Identifier,,0,O,WVI,WVI,9/1/03,
17,7,Channel Identifier,,0,O,WVI,WVI,10/28/07,
17,9,Channel Identifier,,0,O,WVI,WVI,3/18/14,
17,61,Channel Identifier,,0,O,WVI,WVI,5/10/07,
17,81,Channel Identifier,,0,O,WVI,WVI,3/29/13,
17,91,Channel Identifier,,0,O,WVI,WVI,11/2/14,
18,1,VERSION ID,Versionsnummer von HL7,0,O,ST,ST,,
18,2,Check digit,Check digit,0,O,NM,NM,,3-22
18,3,check digit,Prüfziffer,0,O,ST,ST,,
18,4,check digit,Prüfziffer,0,O,NM,NM,4/14/99,
18,5,check digit (NM),Prüfziffer,0,O,NM,NM,7/8/00,
18,6,Waveform Source,,0,O,WVS,WVS,9/1/03,
18,7,Waveform Source,,0,O,WVS,WVS,10/28/07,
18,9,Waveform Source,,0,O,WVS,WVS,3/18/14,
18,61,Waveform Source,,0,O,WVS,WVS,5/10/07,
18,81,Waveform Source,,0,O,WVS,WVS,3/29/13,
18,91,Waveform Source,,0,O,WVS,WVS,11/2/14,
19,2,Check digit scheme,Check digit scheme,61,O,ID,ID,,2
19,3,check digit scheme,Check digit scheme,0,O,ID,ID,,
19,4,check digit scheme,Check digit scheme,0,O,ID,ID,4/14/99,
19,5,check digit scheme,Check digit scheme,0,O,ID,ID,7/8/00,
19,6,Channel Sensitivity/Units,,0,O,CSU,CSU,9/1/03,
19,7,Channel Sensitivity and Units,,0,O,CSU,CSU,10/28/07,
19,9,Channel Sensitivity and Units,,0,O,CSU,CSU,3/18/14,
19,61,Channel Sensitivity/Units,,0,O,CSU,CSU,5/10/07,
19,81,Channel Sensitivity and Units,,0,O,CSU,CSU,3/29/13,
19,91,Channel Sensitivity and Units,,0,O,CSU,CSU,11/2/14,
20,6,Channel Calibration Parameters,,0,O,CCP,CCP,9/1/03,
20,7,Channel Calibration Parameters,,0,O,CCP,CCP,10/28/07,
20,9,Channel Calibration Parameters,,0,O,CCP,CCP,3/18/14,
20,61,Channel Calibration Parameters,,0,O,CCP,CCP,5/10/07,
20,81,Channel Calibration Parameters,,0,O,CCP,CCP,3/29/13,
20,91,Channel Calibration Parameters,,0,O,CCP,CCP,11/2/14,
21,2,familiy name,Familienname,0,O,ST,ST,,3-29
21,6,Channel Sampling Frequency,,0,O,NM,NM,9/1/03,
21,7,Channel Sampling Frequency,,0,O,NM,NM,10/28/07,
21,9,Channel Sampling Frequency,,0,O,NM,NM,3/18/14,
21,61,Channel Sampling Frequency,,0,O,NM,NM,5/10/07,
21,81,Channel Sampling Frequency,,0,O,NM,NM,3/29/13,
21,91,Channel Sampling Frequency,,0,O,NM,NM,11/2/14,
22,2,given name,Vorname,0,O,ST,ST,,3-29
22,3,given name,Vorname,0,O,ST,ST,,
22,4,given name,Vorname,0,O,ST,ST,4/14/99,
22,5,given name,Vorname,0,O,ST,ST,7/8/00,
22,6,Minimum/Maximum Data Values,,0,O,NR,NR,9/1/03,
22,7,Minimum and Maximum Data Values,,0,O,NR,NR,10/28/07,
22,9,Minimum and Maximum Data Values,,0,O,NR,NR,3/18/14,
22,61,Minimum/Maximum Data Values,,0,O,NR,NR,5/10/07,
22,81,Minimum and Maximum Data Values,,0,O,NR,NR,3/29/13,
22,91,Minimum and Maximum Data Values,,0,O,NR,NR,11/2/14,
23,1,PATIENT ADDRESS,Adresse des Patienten,0,O,ST,ST,,
23,2,middle initial or name,weitere Vornamen oder Initialien,0,O,ST,ST,,3-29
23,3,middle initial or name,weitere Vornamen oder Initialien,0,O,ST,ST,,
23,4,middle initial or name,weitere Vornamen oder Initialien,0,O,ST,ST,4/14/99,
23,5,second and further given names or initials thereof,weitere Vornamen oder Initialien,0,O,ST,ST,7/8/00,
23,6,Identifier,Schlüssel,0,O,ST,ST,9/1/03,
23,7,Identifier,Schlüssel,0,O,-,-,10/28/07,
23,9,Identifier,Schlüssel,0,O,ST,ST,3/18/14,
23,61,Identifier,Schlüssel,0,O,ST,ST,5/10/07,
23,81,Identifier,Schlüssel,0,O,ST,ST,3/29/13,
23,91,Identifier,Schlüssel,0,O,ST,ST,11/2/14,
24,2,suffix (e.g. JR or III),Namenszusatz,0,O,ST,ST,,3-29
24,6,Text,Text,0,O,ST,ST,9/1/03,
24,7,Text,Text,0,O,-,-,10/28/07,
24,9,Formatted Text,formatierter Text,0,O,FT,FT,3/18/14,
24,61,Text,Text,0,O,ST,ST,5/10/07,
24,81,Formatted Text,formatierter Text,0,O,FT,FT,3/29/13,
24,91,Formatted Text,formatierter Text,0,O,FT,FT,11/2/14,
25,2,prefix (e.g. DR),Namensvorsatz,0,O,ST,ST,,3-29
25,6,Name of Coding System,Kodiersystem,396,O,ID,ID,9/1/03,
25,7,Name of Coding System,Kodiersystem,0,O,-,-,10/28/07,
25,9,Name of Coding System,Kodiersystem,396,O,ID,ID,3/18/14,
25,61,Name of Coding System,Kodiersystem,396,O,ID,ID,5/10/07,
25,81,Name of Coding System,Kodiersystem,396,O,ID,ID,3/29/13,
25,91,Name of Coding System,Kodiersystem,396,O,ID,ID,11/2/14,
26,2,degree (e.g. MD),Titel,0,O,ST,ST,,3-29
26,6,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,9/1/03,
26,7,Alternate Identifier,alternativer Schlüssel,0,O,-,-,10/28/07,
26,9,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,3/18/14,
26,61,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,5/10/07,
26,81,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,3/29/13,
26,91,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,11/2/14,
27,2,street address,Strasse,0,O,ST,ST,,
27,3,street address,Strasse,0,O,ST,ST,,6-32
27,4,street address,Strasse,0,O,ST,ST,4/14/99,6-32
27,5,street address (ST),Strasse,0,O,ST,ST,7/8/00,6-32
27,6,Alternate Text,alternativer Text,0,O,ST,ST,9/1/03,
27,7,Alternate Text,alternativer Text,0,O,-,-,10/28/07,
27,9,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,3/18/14,
27,61,Alternate Text,alternativer Text,0,O,ST,ST,5/10/07,
27,81,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,3/29/13,
27,91,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,11/2/14,
28,2,other designation,sonst. Adresse,0,O,ST,ST,,
28,3,other designation,sonst. Adresse,0,O,ST,ST,,
28,4,other designation,sonst. Adresse,0,O,ST,ST,4/14/99,
28,5,other designation,sonst. Adresse,0,O,ST,ST,7/8/00,
28,6,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,9/1/03,
28,7,Name of Alternate Coding System,alternatives Kodiersystem,0,O,-,-,10/28/07,
28,9,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,3/18/14,
28,61,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,5/10/07,
28,81,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,3/29/13,
28,91,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,11/2/14,
29,1,COUNTY CODE,Gemeindekennziffer,0,O,ST,ST,,
29,2,city,Ort,0,O,ST,ST,,
29,3,city,Ort,0,O,ST,ST,,
29,4,city,Ort,0,O,ST,ST,4/14/99,
29,5,city,Ort,0,O,ST,ST,7/8/00,
29,6,Identifier,Schlüssel,0,O,ST,ST,9/1/03,
29,7,Identifier,Schlüssel,0,O,ST,ST,10/28/07,
29,9,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,3/18/14,
29,61,Identifier,Schlüssel,0,O,ST,ST,5/10/07,
29,81,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,3/29/13,
29,91,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,11/2/14,
30,2,state or province,Bundesland,0,O,ST,ST,,
30,3,state or province,Bundesland,0,O,ST,ST,,
30,4,state or province,Bundesland,0,O,ST,ST,4/14/99,
30,5,state or province,Bundesland,0,O,ST,ST,7/8/00,
30,6,Formatted Text,formatierter Text,0,O,FT,FT,9/1/03,
30,7,Formatted Text,formatierter Text,0,O,FT,FT,10/28/07,
30,9,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,3/18/14,
30,61,Formatted Text,formatierter Text,0,O,FT,FT,5/10/07,
30,81,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,3/29/13,
30,91,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,11/2/14,
31,2,zip or postal code,Postleitzahl,0,O,ID,ID,,
31,3,zip or postal code,Postleitzahl,0,O,ST,ST,,
31,4,zip or postal code,Postleitzahl,0,O,ST,ST,4/14/99,
31,5,zip or postal code,Postleitzahl,0,O,ST,ST,7/8/00,
31,6,Name of Coding System,verwendetes Kodiersystem,396,O,ID,ID,9/1/03,
31,7,Name of Coding System,verwendetes Kodiersystem,396,O,ID,ID,10/26/07,
31,9,Original Text,Originaltext,0,O,ST,ST,3/18/14,
31,61,Name of Coding System,verwendetes Kodiersystem,396,O,ID,ID,5/10/07,
31,81,Original Text,Originaltext,0,O,ST,ST,3/29/13,
31,91,Original Text,Originaltext,0,O,ST,ST,11/2/14,
32,1,EVENT TYPE CODE,Code des Ereignistyps,0,O,ST,ST,,
32,2,country,Staat,0,O,ID,ID,,
32,3,country,Staat,0,O,ID,ID,,
32,4,country,Staat,0,O,ID,ID,4/14/99,
32,5,country,Staat,399,O,ID,ID,7/8/00,
32,6,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,9/1/03,
32,7,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,10/28/07,
32,9,Second Alternate Identifier,,0,O,ST,ST,3/18/14,
32,61,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,5/10/07,
32,81,Second Alternate Identifier,,0,O,ST,ST,3/29/13,
32,91,Second Alternate Identifier,,0,O,ST,ST,11/2/14,
33,1,DATE/TIME OF EVENT,Zeitpunkt des Ereignisses,0,O,ST,ST,,
33,2,type,Typ,0,O,ID,ID,,
33,3,type,Typ,0,O,ID,ID,,
33,4,type,Typ,0,O,ID,ID,4/14/99,
33,5,type,Typ,0,O,ID,ID,7/8/00,
33,6,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,9/1/03,
33,7,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,10/28/07,
33,9,Second Alternate Formatted Text,,0,O,FT,FT,3/18/14,
33,61,Alternate Formatted Text,alternativer formatierter Text,0,O,FT,FT,5/10/07,
33,81,Second Alternate Formatted Text,,0,O,FT,FT,3/29/13,
33,91,Second Alternate Formatted Text,,0,O,FT,FT,11/2/14,
34,1,DATE/TIME PLANNED EVENT,Zeitpunkt des geplanten Ereignisses,0,O,ST,ST,,
34,2,other geographic designation,sonst. geogr. Bezeichnung,0,O,ST,ST,,
34,3,other geographic designation,sonst. geogr. Bezeichnung,0,O,ST,ST,,
34,4,other geographic designation,sonst. geogr. Bezeichnung,0,O,ST,ST,4/14/99,
34,5,other geographic designation,sonst. geogr. Bezeichnung,0,O,ST,ST,7/8/00,
34,6,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,9/1/03,
34,7,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,10/26/07,
34,9,Name of Second Alternate Coding System,,396,O,ID,ID,3/18/14,
34,61,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,5/10/07,
34,81,Name of Second Alternate Coding System,,396,O,ID,ID,3/29/13,
34,91,Name of Second Alternate Coding System,,396,O,ID,ID,11/2/14,
35,1,PATIENT ID (INTERNAL ID),interne (lokale Pat.-ID),0,O,ST,ST,,
35,2,License Number,entfällt,0,O,ST,ST,,3-25
35,6,Identifier,Schlüssel,0,O,ST,ST,9/1/03,
35,7,Identifier,Schlüssel,0,O,ST,ST,10/28/07,
35,9,Second Alternate Coding System Version ID,,0,O,ST,ST,3/18/14,
35,61,Identifier,Schlüssel,0,O,ST,ST,5/10/07,
35,81,Second Alternate Coding System Version ID,,0,O,ST,ST,3/29/13,
35,91,Second Alternate Coding System Version ID,,0,O,ST,ST,11/2/14,
36,1,PATIENT ACCOUNT NUMBER,Debitorenkontonummer,0,O,ST,ST,,
36,2,"issuing state,province,country",Ausstellende Behörde,0,O,ST,ST,,3-25
36,6,Text,Text,0,O,ST,ST,9/1/03,
36,7,Text,Text,0,O,ST,ST,10/28/07,
36,9,Coding System OID,,0,O,ST,ST,3/18/14,
36,61,Text,Text,0,O,ST,ST,5/10/07,
36,81,Coding System OID,,0,O,ST,ST,3/29/13,
36,91,Coding System OID,,0,O,ST,ST,11/2/14,
37,1,ALTERNATE PATIENT ID,Fallnummer,0,O,ST,ST,,
37,2,nurse unit (Station),Station,79,O,ID,ID,,3-29
37,6,Name of Coding System,Kodiersystem,396,O,ID,ID,9/1/03,
37,7,Name of Coding System,Kodiersystem,396,O,ID,ID,10/26/07,
37,9,Value Set OID,,0,O,ST,ST,3/18/14,
37,61,Name of Coding System,Kodiersystem,396,O,ID,ID,5/10/07,
37,81,Value Set OID,,0,O,ST,ST,3/29/13,
37,91,Value Set OID,,0,O,ST,ST,11/2/14,
38,1,PATIENT NAME,Patientenname,0,O,ST,ST,,
38,2,Room,Zimmer,79,O,ID,ID,,3-29
38,3,room,Zimmer,303,O,IS,IS,,
38,4,room,Zimmer,303,O,IS,IS,4/14/99,
38,5,room,Zimmer,303,O,IS,IS,7/8/00,
38,6,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,9/1/03,
38,7,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,10/28/07,
38,9,Value Set Version ID,,0,O,DTM,DTM,3/18/14,
38,61,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,5/10/07,
38,81,Value Set Version ID,,0,O,DTM,DTM,3/29/13,
38,91,Value Set Version ID,,0,O,DTM,DTM,11/2/14,
39,1,SEX,Geschlecht,0,O,ST,ST,,
39,2,Bed,Bettenstellplatz,79,O,ID,ID,,3-29
39,3,bed,Bettenstellplatz,304,O,IS,IS,,
39,4,bed,Bettenstellplatz,304,O,IS,IS,4/14/99,
39,5,bed,Bettenstellplatz,304,O,IS,IS,7/8/00,
39,6,Alternate Text,alternativer Text,0,O,ST,ST,9/1/03,
39,7,Alternate Text,alternativer Text,0,O,ST,ST,10/28/07,
39,9,Alternate Coding System OID,,0,O,ST,ST,3/18/14,
39,61,Alternate Text,alternativer Text,0,O,ST,ST,5/10/07,
39,81,Alternate Coding System OID,,0,O,ST,ST,3/29/13,
39,91,Alternate Coding System OID,,0,O,ST,ST,11/2/14,
40,1,DATE OF BIRTH,Geburtsdatum,0,O,ST,ST,,
40,2,Facility ID,Fachbereich,115,O,ID,ID,,3-29
40,3,facility ID,Fachbereich,0,O,ID,ID,,
40,4,facility ID,Fachbereich,0,O,ID,ID,4/14/99,
40,5,facility ID,Fachbereich,0,O,ID,ID,7/8/00,
40,6,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,9/1/03,
40,7,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,10/26/07,
40,9,Alternate Value Set OID,,0,O,ST,ST,3/18/14,
40,61,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,5/10/07,
40,81,Alternate Value Set OID,,0,O,ST,ST,3/29/13,
40,91,Alternate Value Set OID,,0,O,ST,ST,11/2/14,
41,1,ETHNIC GROUP,entfällt,0,O,ST,ST,,
41,2,Bed Status,Bettenzustand,116,O,ID,ID,,3-29
41,6,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,9/1/03,
41,7,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,10/28/07,
41,9,Alternate Value Set Version ID,,0,O,DTM,DTM,3/18/14,
41,61,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,5/10/07,
41,81,Alternate Value Set Version ID,,0,O,DTM,DTM,3/29/13,
41,91,Alternate Value Set Version ID,,0,O,DTM,DTM,11/2/14,
42,1,RELIGION,Religion,0,O,ST,ST,,
42,2,Etage,Etage,79,A,ID,ID,,3-29
42,6,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,9/1/03,
42,7,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,10/28/07,
42,9,Second Alternate Coding System OID,,0,O,ST,ST,3/18/14,
42,61,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,5/10/07,
