table_id,version_id,display_name,description_as_pub,table_type,interpretation,generate,oid_table,section,anchor,owl_gen,contains_other,contains_unknown,deleted_values,new_values,case_insensitive,steward,v3_harmonization,v3_equivalent,where_used,status,v2codetable,v2codetablecomment,cs_oid,cs_version,vs_oid,audit_track,modification_date,width_col1,width_col2,width_col3,width_col4,binding,version_description,comment,version_introduced,vs_expansion
0,530,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,540,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
0,630,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
1,1,SEX,SEX,2,Geschlecht,FALSE,2.16.840.1.113883.12.1,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.1,1,2.16.840.1.113883.21.1,1,5/7/15,50,230,90,90,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,2,SEX,SEX,2,Geschlecht,FALSE,2.16.840.1.113883.12.1,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.1,1,2.16.840.1.113883.21.1,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,3,Sex,Sex,1,Geschlecht,TRUE,2.16.840.1.113883.12.1,"PID-8, NK1",,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.1,1,2.16.840.1.113883.21.1,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,4,Sex,Sex,1,Geschlecht,TRUE,2.16.840.1.113883.12.1,3,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.1,1,2.16.840.1.113883.21.1,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,5,Administrative sex,Administrative sex,1,Geschlecht,TRUE,2.16.840.1.113883.12.1,3,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,6,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,3.4.2.8,ch03.html#Heading88,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,7,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,3.4.2.8,ch03.html#Heading88,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,8,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.0,ch02c.html#Heading16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-8,Active,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,9,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.1,ch02c.html#Heading17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-8,Active,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,10,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.1,ch02c.html#Heading17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,,,PID-8,,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,,50,180,60,60,representative,,,1,1
1,61,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,3.4.2.8,ch03.html#Heading88,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,81,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.0,ch02c.html#Heading14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-8,Active,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,80,190,90,90,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,91,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.1,ch02c.html#Heading17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-8,Active,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,5/7/15,,,,,representative,"1) Initial release in HL7 version 2.0
Version Change History: no changes
Current Version as of 2.3.1 = 1
Retired/replaced as of 2.4
2) Initial release in HL7 version 2.4
Version Change History: no changes
Current Version as of 2.8.2 = 1",,1,1
1,92,Administrative Sex,Administrative Sex,1,Geschlecht,FALSE,2.16.840.1.113883.12.1,2.C.2.1,ch02c.html#Heading17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,,,"NK1-15, PID-8, STF-5, GT1-9, IN1-43, OM1-58, RFR.2",,prev version,,2.16.840.1.113883.18.2,1,2.16.840.1.113883.21.2,1,,50,180,60,60,representative,,,1,1
1,630,Administrative Sex,Administrative Sex,,,FALSE,2.16.840.1.113883.12.1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
2,1,MARITAL STATUS,MARITAL STATUS,2,Familienstand,FALSE,2.16.840.1.113883.12.2,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.179,1,2.16.840.1.113883.21.3,1,,50,230,90,90,representative,,,1,1
2,2,MARITAL STATUS,MARITAL STATUS,1,Familienstand,FALSE,2.16.840.1.113883.12.2,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,1,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,3,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,"PID-16, NK",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,1,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,4,Marital status,Marital status,1,Familienstand,TRUE,2.16.840.1.113883.12.2,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,1,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,5,Marital status,Marital status,1,Familienstand,TRUE,2.16.840.1.113883.12.2,3,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,example,,,1,1
2,6,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,3.4.2.16,ch03.html#Heading96,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,7,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,3.4.2.16,ch03.html#Heading96,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,8,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.1,ch02c.html#Heading17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-16,Active,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,9,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.2,ch02c.html#Heading18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-16,Active,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,10,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.2,ch02c.html#Heading18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,,,PID-16,,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,50,230,70,70,representative,,,1,1
2,61,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,3.4.2.16,ch03.html#Heading96,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,81,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.1,ch02c.html#Heading15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-16,Active,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,91,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.2,ch02c.html#Heading18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PID-16,Active,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,,,,,representative,,,1,1
2,92,Marital Status,Marital Status,1,Familienstand,FALSE,2.16.840.1.113883.12.2,2.C.2.2,ch02c.html#Heading18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,PA,,,"IN2-43, NK1-14, PID-16, STF-17, GT1-30",,prev version,,2.16.840.1.113883.18.179,2,2.16.840.1.113883.21.3,1,,50,220,70,70,representative,,,1,1
2,530,Marital Status,Marital Status,1,Zivilstand,FALSE,2.16.840.1.113883.12.2,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
2,630,Marital Status,Marital Status,6,,FALSE,2.16.840.1.113883.12.2,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
3,1,EVENT TYPE CODE,EVENT TYPE CODE,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.4,1,2.16.840.1.113883.21.4,1,5/7/15,80,200,90,90,universal,,,1,1
3,2,EVENT TYPE CODE,EVENT TYPE CODE,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,2,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,3,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,MSH-9^2,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,3,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,4,Event type,Event type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,"2,12",,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,4,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,5,Event type,Event type,2,Ereignistyp,TRUE,2.16.840.1.113883.12.3,"2,12",,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,5,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,6,Event type,Event type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,12.2.3,ch12.html#Heading17,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,6,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,7,Event type,Event type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.16.2,ch02.html#Heading227,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,7,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,8,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.C.2.2,ch02c.html#Heading18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,InM,TBD,TBD,MSH-9.2,Active,new version,,2.16.840.1.113883.18.4,8,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,9,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.C.2.3,ch02c.html#Heading19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,InM,TBD,TBD,MSH-9.2,Active,new version,,2.16.840.1.113883.18.4,9,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,10,Event Type,Event Type,2,Ereignistyp,TRUE,2.16.840.1.113883.12.3,2.C.2.3,ch02c.html#Heading19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,InM,,,MSH-9.2,,new version,,2.16.840.1.113883.18.4,13,2.16.840.1.113883.21.4,1,,40,250,60,70,universal,,,1,1
3,61,Event type,Event type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.17.2,ch02.html#Heading260,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.4,10,2.16.840.1.113883.21.4,1,5/7/15,,,,,universal,,,1,1
3,81,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.C.2.2,ch02c.html#Heading16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,InM,TBD,TBD,MSH-9.2,Active,new version,,2.16.840.1.113883.18.4,11,2.16.840.1.113883.21.4,1,5/7/15,45,330,70,,universal,,,1,1
3,91,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.C.2.3,ch02c.html#Heading19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,InM,TBD,TBD,MSH-9.2,Active,new version,,2.16.840.1.113883.18.4,12,2.16.840.1.113883.21.4,1,5/7/15,45,330,70,,universal,,,1,1
3,92,Event Type,Event Type,2,Ereignistyp,FALSE,2.16.840.1.113883.12.3,2.C.2.3,ch02c.html#Heading19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,InM,,,MSG.2,,new version,,2.16.840.1.113883.18.4,12,2.16.840.1.113883.21.4,1,,40,250,55,80,universal,,,1,1
4,1,PATIENT CLASS,PATIENT CLASS,2,Patientenstatus (Abrechnungsart),FALSE,2.16.840.1.113883.12.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.5,1,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,2,PATIENT CLASS,PATIENT CLASS,1,Patientenstatus (Abrechnungsart),FALSE,2.16.840.1.113883.12.4,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.5,2,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,3,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,PV1-2,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.5,2,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,4,Patient class,Patient class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.5,2,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,5,Patient class,Patient class,1,Patientenstatus,TRUE,2.16.840.1.113883.12.4,3,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,new version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,6,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.2,ch03.html#Heading123,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,7,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.2,ch03.html#Heading123,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,8,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.1,ch03.html#Heading120,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PV1-2,Active,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,9,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,2.C.2.4,ch02c.html#Heading20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PV1-2,Active,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,10,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,2.C.2.4,ch02c.html#Heading20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PA,,,PV1-2,,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,60,200,60,60,example,,,1,1
4,60,Patient Class,Patient Class,6,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
4,61,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.2,ch03.html#Heading123,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,81,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.1,ch03.html#Heading120,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,PA,high priority,TBD,PV1-2,Active,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,91,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,2.C.2.4,ch02c.html#Heading20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PA,high priority,TBD,PV1-2,Active,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,,,,,example,,,1,1
4,92,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,2.C.2.4,ch02c.html#Heading20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PA,,,"PV1-2, LDP-5, PRC-4",,prev version,,2.16.840.1.113883.18.5,3,2.16.840.1.113883.21.5,1,,0,0,0,,example,,,1,1
4,300,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,PV1-2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
4,400,Patient class,Patient class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
4,500,Patient class,Patient class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
4,530,Patient Class,Patient Class,1,Berhandlungsart,FALSE,2.16.840.1.113883.12.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
4,540,Patient Class,,6,,FALSE,2.16.840.1.113883.12.4,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
4,630,Patient Class,Patient Class,6,,FALSE,2.16.840.1.113883.12.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,,,,,1,1
4,700,Patient Class,Patient Class,1,Patientenstatus,FALSE,2.16.840.1.113883.12.4,3.4.3.2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
5,1,ETHNIC GROUP,ETHNIC GROUP,1,ethnische Gruppe,FALSE,2.16.840.1.113883.12.5,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,new cs,,2.16.840.1.113883.18.6,1,2.16.840.1.113883.21.6,1,,,,,,,,,1,1
5,2,RACE,RACE,1,Rasse,FALSE,2.16.840.1.113883.12.5,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,domain only,,,,,1,,,,,,,,,1,1
5,3,Race,Race,1,Rasse,FALSE,2.16.840.1.113883.12.5,"PID-10, NK",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,domain only,,,,,1,,,,,,,,,1,1
5,4,Race,Race,1,Rasse,FALSE,2.16.840.1.113883.12.5,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,domain only,,,,,1,,,,,,,,,1,1
5,5,Race,Race,1,Rasse,FALSE,2.16.840.1.113883.12.5,3,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,value set,US Realm,,,2.16.840.1.113883.6.238,1,,,,,,US Realm,,,1,1
5,6,Race,Race,1,Rasse,FALSE,2.16.840.1.113883.12.5,15.4.8.27,ch15.html#Heading143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,prev version,US Realm,,,2.16.840.1.113883.6.238,1,,,,,,US Realm,,,1,1
