message_structure,version_id,description,example_event,example_msg_type,action,section,anchor,owl_gen
ADT_A02,6,Transfer,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,7,Transfer,,,,3.3.2,ch03.html#Heading6,TRUE
ADT_A02,8,ADT Message,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,9,ADT Message,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,61,Transfer,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,81,ADT Message,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,91,,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A02,92,,,,,3.3.2,ch03.html#Heading6,FALSE
ADT_A03,3,Discharge,A03,ADT,,,,FALSE
ADT_A03,4,Discharge,A03,ADT,,,,FALSE
ADT_A03,5,Discharge,,,,3,,FALSE
ADT_A03,6,Discharge,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,7,Discharge,,,,3.3.3,ch03.html#Heading7,TRUE
ADT_A03,8,ADT Message,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,9,ADT Message,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,61,Discharge,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,81,ADT Message,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,91,,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A03,92,,,,,3.3.3,ch03.html#Heading7,FALSE
ADT_A05,5,,,,,3,,FALSE
ADT_A05,6,,,,,3.3.14,ch03.html#Heading18,FALSE
ADT_A05,7,,,,,3.3.5,ch03.html#Heading9,TRUE
ADT_A05,8,ADT Message,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A05,9,ADT Message,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A05,61,,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A05,81,ADT Message,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A05,91,,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A05,92,,,,,3.3.5,ch03.html#Heading9,FALSE
ADT_A06,3,General (2),A06,ADT,,,,FALSE
ADT_A06,4,,A06,ADT,,,,FALSE
ADT_A06,5,,,,,3,,FALSE
ADT_A06,6,,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,7,,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,8,ADT Message,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,9,ADT Message,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,61,,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,81,ADT Message,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,91,,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A06,92,,,,,3.3.6,ch03.html#Heading10,FALSE
ADT_A09,3,Track/Cancel,A09,ADT,,,,FALSE
ADT_A09,4,Track/Cancel,A09,ADT,,,,FALSE
ADT_A09,5,Track/Cancel,,,,3,,FALSE
ADT_A09,6,Track/Cancel,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,7,Track/Cancel,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,8,ADT Message,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,9,ADT Message,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,61,,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,81,ADT Message,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,91,,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A09,92,,,,,3.3.9,ch03.html#Heading13,FALSE
ADT_A12,3,Track/Cancel (2),A12,ADT,,,,FALSE
ADT_A12,4,,A12,ADT,,,,FALSE
ADT_A12,6,,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,7,,,,,3.3.12,ch03.html#Heading16,TRUE
ADT_A12,8,ADT Message,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,9,ADT Message,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,61,,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,81,ADT Message,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,91,,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A12,92,,,,,3.3.12,ch03.html#Heading16,FALSE
ADT_A15,5,,,,,3,,FALSE
ADT_A15,6,,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,7,,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,8,ADT Message,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,9,ADT Message,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,61,,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,81,ADT Message,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,91,,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A15,92,,,,,3.3.15,ch03.html#Heading19,FALSE
ADT_A16,3,Pending Discharge,A16,ADT,,,,FALSE
ADT_A16,4,,A16,ADT,,,,FALSE
ADT_A16,5,,,,,3,,FALSE
ADT_A16,6,,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,7,,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,8,ADT Message,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,9,ADT Message,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,61,,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,81,ADT Message,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,91,,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A16,92,,,,,3.3.16,ch03.html#Heading20,FALSE
ADT_A17,3,Swap,A17,ADT,,,,FALSE
ADT_A17,4,,A17,ADT,,,,FALSE
ADT_A17,5,,,,,3,,FALSE
ADT_A17,6,,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,7,,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,8,ADT Message,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,9,ADT Message,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,61,,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,81,ADT Message,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,91,,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A17,92,,,,,3.3.17,ch03.html#Heading21,FALSE
ADT_A18,3,,A18,ADT,,,,FALSE
ADT_A18,4,,A18,ADT,,,,FALSE
ADT_A18,5,,,,,3,,FALSE
ADT_A18,6,,,,,3.3.18,ch03.html#Heading22,FALSE
ADT_A18,7,,,,,3.3.18,ch03.html#Heading22,FALSE
ADT_A18,61,,,,,3.3.18,ch03.html#Heading22,FALSE
ADT_A20,3,,A20,ADT,,,,FALSE
ADT_A20,4,,A20,ADT,,,,FALSE
ADT_A20,5,,,,,3,,FALSE
ADT_A20,6,,,,,3.3.20,ch03.html#Heading26,FALSE
ADT_A20,7,,,,,3.3.20,ch03.html#Heading26,FALSE
ADT_A20,8,ADT Message,,,,3.3.20,ch03.html#Heading24,FALSE
ADT_A20,9,ADT Message,,,,3.3.20,ch03.html#Heading24,FALSE
ADT_A20,61,,,,,3.3.20,ch03.html#Heading26,FALSE
ADT_A20,81,ADT Message,,,,3.3.20,ch03.html#Heading24,FALSE
ADT_A20,91,,,,,3.3.20,ch03.html#Heading24,FALSE
ADT_A20,92,,,,,3.3.20,ch03.html#Heading24,FALSE
ADT_A21,5,,,,,3,,FALSE
ADT_A21,6,,,,,3.3.21,ch03.html#Heading27,FALSE
ADT_A21,7,,,,,3.3.21,ch03.html#Heading27,TRUE
ADT_A21,8,ADT Message,,,,3.3.21,ch03.html#Heading25,FALSE
ADT_A21,9,ADT Message,,,,3.3.21,ch03.html#Heading25,FALSE
ADT_A21,61,,,,,3.3.21,ch03.html#Heading27,FALSE
ADT_A21,81,ADT Message,,,,3.3.21,ch03.html#Heading25,FALSE
ADT_A21,91,,,,,3.3.21,ch03.html#Heading25,FALSE
ADT_A21,92,,,,,3.3.21,ch03.html#Heading25,FALSE
ADT_A24,3,,A24,ADT,,,,FALSE
ADT_A24,4,,A24,ADT,,,,FALSE
ADT_A24,5,,,,,3,,FALSE
ADT_A24,6,,,,,3.3.24,ch03.html#Heading30,FALSE
ADT_A24,7,,,,,3.3.24,ch03.html#Heading30,FALSE
ADT_A24,8,ADT Message,,,,3.3.24,ch03.html#Heading28,FALSE
ADT_A24,9,ADT Message,,,,3.3.24,ch03.html#Heading28,FALSE
ADT_A24,61,,,,,3.3.24,ch03.html#Heading30,FALSE
ADT_A24,81,ADT Message,,,,3.3.24,ch03.html#Heading28,FALSE
ADT_A24,91,,,,,3.3.24,ch03.html#Heading28,FALSE
ADT_A24,92,,,,,3.3.24,ch03.html#Heading28,FALSE
ADT_A30,3,,A30,ADT,,,,FALSE
ADT_A30,4,,A30,ADT,,,,FALSE
ADT_A30,5,,,,,3,,FALSE
ADT_A30,6,,,,,3.3.30,ch03.html#Heading36,FALSE
ADT_A30,7,,,,,3.3.30,ch03.html#Heading36,FALSE
ADT_A30,61,,,,,3.3.30,ch03.html#Heading36,FALSE
ADT_A37,3,,A37,ADT,,,,FALSE
ADT_A37,4,,A37,ADT,,,,FALSE
ADT_A37,5,,,,,3,,FALSE
ADT_A37,6,,,,,3.3.37,ch03.html#Heading43,FALSE
ADT_A37,7,,,,,3.3.37,ch03.html#Heading43,FALSE
ADT_A37,8,ADT Message,,,,3.3.37,ch03.html#Heading41,FALSE
ADT_A37,9,ADT Message,,,,3.3.37,ch03.html#Heading41,FALSE
ADT_A37,61,,,,,3.3.37,ch03.html#Heading43,FALSE
ADT_A37,81,ADT Message,,,,3.3.37,ch03.html#Heading41,FALSE
ADT_A37,91,,,,,3.3.37,ch03.html#Heading41,FALSE
ADT_A37,92,,,,,3.3.37,ch03.html#Heading41,FALSE
ADT_A38,3,Swap (2),A38,ADT,,,,FALSE
ADT_A38,4,,A38,ADT,,,,FALSE
ADT_A38,5,,,,,3,,FALSE
ADT_A38,6,,,,,3.3.38,ch03.html#Heading44,FALSE
ADT_A38,7,,,,,3.3.38,ch03.html#Heading44,FALSE
ADT_A38,8,ADT Message,,,,3.3.38,ch03.html#Heading42,FALSE
ADT_A38,9,ADT Message,,,,3.3.38,ch03.html#Heading42,FALSE
ADT_A38,61,,,,,3.3.38,ch03.html#Heading44,FALSE
ADT_A38,81,ADT Message,,,,3.3.38,ch03.html#Heading42,FALSE
ADT_A38,91,,,,,3.3.38,ch03.html#Heading42,FALSE
ADT_A38,92,,,,,3.3.38,ch03.html#Heading42,FALSE
ADT_A39,3,,A39,ADT,,,,FALSE
ADT_A39,4,,A39,ADT,,,,FALSE
ADT_A39,5,,,,,3,,FALSE
ADT_A39,6,,,,,3.3.39,ch03.html#Heading45,FALSE
ADT_A39,7,,,,,3.3.39,ch03.html#Heading45,FALSE
ADT_A39,8,ADT Message,,,,3.3.40,ch03.html#Heading44,FALSE
ADT_A39,9,ADT Message,,,,3.3.40,ch03.html#Heading44,FALSE
ADT_A39,61,,,,,3.3.39,ch03.html#Heading45,FALSE
ADT_A39,81,ADT Message,,,,3.3.40,ch03.html#Heading44,FALSE
ADT_A39,91,,,,,3.3.40,ch03.html#Heading44,FALSE
ADT_A39,92,,,,,3.3.40,ch03.html#Heading44,FALSE
ADT_A43,3,,A43,ADT,,,,FALSE
ADT_A43,4,,A43,ADT,,,,FALSE
ADT_A43,5,,,,,3,,FALSE
ADT_A43,6,,,,,3.3.43,ch03.html#Heading49,FALSE
ADT_A43,7,,,,,3.3.43,ch03.html#Heading49,FALSE
ADT_A43,8,ADT Message,,,,3.3.43,ch03.html#Heading47,FALSE
ADT_A43,9,ADT Message,,,,3.3.43,ch03.html#Heading47,FALSE
ADT_A43,61,,,,,3.3.43,ch03.html#Heading49,FALSE
ADT_A43,81,ADT Message,,,,3.3.43,ch03.html#Heading47,FALSE
ADT_A43,91,,,,,3.3.43,ch03.html#Heading47,FALSE
ADT_A43,92,,,,,3.3.43,ch03.html#Heading47,FALSE
ADT_A44,8,ADT Message,,,,3.3.44,ch03.html#Heading48,FALSE
ADT_A44,9,ADT Message,,,,3.3.44,ch03.html#Heading48,FALSE
ADT_A44,81,ADT Message,,,,3.3.44,ch03.html#Heading48,FALSE
ADT_A44,91,,,,,3.3.44,ch03.html#Heading48,FALSE
ADT_A44,92,,,,,3.3.44,ch03.html#Heading48,FALSE
ADT_A45,3,,A45,ADT,,,,FALSE
ADT_A45,4,,A45,ADT,,,,FALSE
ADT_A45,5,,,,,3,,FALSE
ADT_A45,6,,,,,3.3.45,ch03.html#Heading51,FALSE
ADT_A45,7,,,,,3.3.45,ch03.html#Heading51,FALSE
ADT_A45,8,ADT Message,,,,3.3.45,ch03.html#Heading49,FALSE
ADT_A45,9,ADT Message,,,,3.3.45,ch03.html#Heading49,FALSE
ADT_A45,61,,,,,3.3.45,ch03.html#Heading51,FALSE
ADT_A45,81,ADT Message,,,,3.3.45,ch03.html#Heading49,FALSE
ADT_A45,91,,,,,3.3.45,ch03.html#Heading49,FALSE
ADT_A45,92,,,,,3.3.45,ch03.html#Heading49,FALSE
ADT_A50,3,,A50,ADT,,,,FALSE
ADT_A50,4,,A50,ADT,,,,FALSE
ADT_A50,5,,,,,3,,FALSE
ADT_A50,6,,,,,3.3.50,ch03.html#Heading56,FALSE
ADT_A50,7,,,,,3.3.50,ch03.html#Heading56,FALSE
ADT_A50,8,ADT Message,,,,3.3.50,ch03.html#Heading54,FALSE
ADT_A50,9,ADT Message,,,,3.3.50,ch03.html#Heading54,FALSE
ADT_A50,61,,,,,3.3.50,ch03.html#Heading56,FALSE
ADT_A50,81,ADT Message,,,,3.3.50,ch03.html#Heading54,FALSE
ADT_A50,91,,,,,3.3.50,ch03.html#Heading54,FALSE
ADT_A50,92,,,,,3.3.50,ch03.html#Heading54,FALSE
ADT_A52,5,,,,,3,,FALSE
ADT_A52,6,,,,,3.3.52,ch03.html#Heading58,FALSE
ADT_A52,7,,,,,3.3.52,ch03.html#Heading58,FALSE
ADT_A52,8,ADT Message,,,,3.3.52,ch03.html#Heading56,FALSE
ADT_A52,9,ADT Message,,,,3.3.52,ch03.html#Heading56,FALSE
ADT_A52,61,,,,,3.3.52,ch03.html#Heading58,FALSE
ADT_A52,81,ADT Message,,,,3.3.52,ch03.html#Heading56,FALSE
ADT_A52,91,,,,,3.3.52,ch03.html#Heading56,FALSE
ADT_A52,92,,,,,3.3.52,ch03.html#Heading56,FALSE
ADT_A54,5,,,,,3,,FALSE
ADT_A54,6,,,,,3.3.54,ch03.html#Heading60,FALSE
ADT_A54,7,,,,,3.3.54,ch03.html#Heading60,FALSE
ADT_A54,8,ADT Message,,,,3.3.54,ch03.html#Heading58,FALSE
ADT_A54,9,ADT Message,,,,3.3.54,ch03.html#Heading58,FALSE
ADT_A54,61,,,,,3.3.54,ch03.html#Heading60,FALSE
ADT_A54,81,ADT Message,,,,3.3.54,ch03.html#Heading58,FALSE
ADT_A54,91,,,,,3.3.54,ch03.html#Heading58,FALSE
ADT_A54,92,,,,,3.3.54,ch03.html#Heading58,FALSE
ADT_A60,5,,,,,3,,FALSE
ADT_A60,6,,,,,3.3.60,ch03.html#Heading66,FALSE
ADT_A60,7,,,,,3.3.60,ch03.html#Heading66,FALSE
ADT_A60,8,ADT Message,,,,3.3.60,ch03.html#Heading64,FALSE
ADT_A60,9,ADT Message,,,,3.3.60,ch03.html#Heading64,FALSE
ADT_A60,61,,,,,3.3.60,ch03.html#Heading66,FALSE
ADT_A60,81,ADT Message,,,,3.3.60,ch03.html#Heading64,FALSE
ADT_A60,91,,,,,3.3.60,ch03.html#Heading64,FALSE
ADT_A60,92,,,,,3.3.60,ch03.html#Heading64,FALSE
ADT_A61,5,,,,,3,,FALSE
ADT_A61,6,,,,,3.3.61,ch03.html#Heading67,FALSE
ADT_A61,7,,,,,3.3.61,ch03.html#Heading67,FALSE
ADT_A61,8,ADT Message,,,,3.3.61,ch03.html#Heading65,FALSE
ADT_A61,9,ADT Message,,,,3.3.61,ch03.html#Heading65,FALSE
ADT_A61,61,,,,,3.3.61,ch03.html#Heading67,FALSE
ADT_A61,81,ADT Message,,,,3.3.61,ch03.html#Heading65,FALSE
ADT_A61,91,,,,,3.3.61,ch03.html#Heading65,FALSE
ADT_A61,92,,,,,3.3.61,ch03.html#Heading65,FALSE
ARD_A19,3,,A19,ARD,,,,FALSE
BAR_P01,0,open account,,,,,,FALSE
BAR_P01,3,open account,P01,BAR,,,,FALSE
BAR_P01,4,open account,P01,BAR,,,,FALSE
BAR_P01,5,open account,,,,6,,FALSE
BAR_P01,6,open account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,7,open account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,8,Add Billing Account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,9,Add Billing Account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,32,open account,,,,,,FALSE
BAR_P01,61,open account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,81,Add Billing Account,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,91,,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P01,92,,,,,6.4.1,ch06.html#Heading6,FALSE
BAR_P02,3,,P02,BAR,,,,FALSE
BAR_P02,4,,P02,BAR,,,,FALSE
BAR_P02,5,,,,,6,,FALSE
BAR_P02,6,,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,7,,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,8,Purge Billing Account,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,9,Purge Billing Account,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,61,,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,81,Purge Billing Account,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,91,,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P02,92,,,,,6.4.2,ch06.html#Heading7,FALSE
BAR_P05,5,,,,,6,,FALSE
BAR_P05,6,,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,7,,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,8,Update Billing Account,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,9,Update Billing Account,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,61,,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,81,Update Billing Account,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,91,,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P05,92,,,,,6.4.5,ch06.html#Heading10,FALSE
BAR_P06,3,,P06,BAR,,,,FALSE
BAR_P06,4,,P06,BAR,,,,FALSE
BAR_P06,5,,,,,6,,FALSE
BAR_P06,6,,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,7,,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,8,End Billing Account,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,9,End Billing Account,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,61,,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,81,End Billing Account,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,91,,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P06,92,,,,,6.4.6,ch06.html#Heading11,FALSE
BAR_P10,5,,,,,6,,FALSE
BAR_P10,6,,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,7,,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,8,Transmit Ambulatory Payment Classification (APC) g,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,9,Transmit Ambulatory Payment Classification (APC) g,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,61,,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,81,Transmit Ambulatory Payment Classification (APC) g,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,91,,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P10,92,,,,,6.4.7,ch06.html#Heading12,FALSE
BAR_P12,6,Update Diagnosis/Procedure,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,7,Update Diagnosis/Procedure,,,,6.4.9,ch06.html#Heading14,TRUE
BAR_P12,8,Update Diagnosis/Procedures,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,9,Update Diagnosis/Procedures,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,61,Update Diagnosis/Procedure,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,81,Update Diagnosis/Procedures,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,91,,,,,6.4.9,ch06.html#Heading14,FALSE
BAR_P12,92,,,,,6.4.9,ch06.html#Heading14,FALSE
BPS_O29,6,,,,,4.20.3,ch04.html#Heading469,FALSE
BPS_O29,7,,,,,4.20.3,ch04.html#Heading485,FALSE
BPS_O29,8,Blood Product dispense status Message,,,,4.13.3,ch04.html#Heading217,FALSE
BPS_O29,9,Blood Product dispense status Message,,,,4.13.3,ch04.html#Heading233,FALSE
BPS_O29,61,,,,,4.20.3,ch04.html#Heading471,FALSE
BPS_O29,81,Blood Product dispense status Message,,,,4.12.3,ch04.html#Heading217,FALSE
BPS_O29,91,,,,,4.13.3,ch04.html#Heading245,FALSE
BPS_O29,92,,,,,4.13.3,ch04.html#Heading245,FALSE
BRP_O30,6,,,,,4.20.4,ch04.html#Heading470,FALSE
BRP_O30,7,,,,,4.20.4,ch04.html#Heading486,FALSE
BRP_O30,8,Description,,,,4.13.4,ch04.html#Heading218,FALSE
BRP_O30,9,Description,,,,4.13.4,ch04.html#Heading234,FALSE
BRP_O30,61,,,,,4.20.4,ch04.html#Heading472,FALSE
BRP_O30,81,Description,,,,4.12.4,ch04.html#Heading218,FALSE
BRP_O30,91,,,,,4.13.4,ch04.html#Heading246,FALSE
BRP_O30,92,,,,,4.13.4,ch04.html#Heading246,FALSE
BRT_O32,6,,,,,4.20.6,ch04.html#Heading472,FALSE
BRT_O32,7,,,,,4.20.6,ch04.html#Heading488,FALSE
BRT_O32,8,Description,,,,4.13.6,ch04.html#Heading220,FALSE
BRT_O32,9,Description,,,,4.13.6,ch04.html#Heading236,FALSE
BRT_O32,61,,,,,4.20.6,ch04.html#Heading474,FALSE
BRT_O32,81,Description,,,,4.12.6,ch04.html#Heading220,FALSE
BRT_O32,91,,,,,4.13.6,ch04.html#Heading248,FALSE
BRT_O32,92,,,,,4.13.6,ch04.html#Heading248,FALSE
BTS_O31,6,,,,,4.20.5,ch04.html#Heading471,FALSE
BTS_O31,7,,,,,4.20.5,ch04.html#Heading487,FALSE
BTS_O31,8,Blood Product Transfusion/Disposition Message,,,,4.13.5,ch04.html#Heading219,FALSE
BTS_O31,9,Blood Product Transfusion/Disposition Message,,,,4.13.5,ch04.html#Heading235,FALSE
BTS_O31,61,,,,,4.20.5,ch04.html#Heading473,FALSE
BTS_O31,81,Blood Product Transfusion/Disposition Message,,,,4.12.5,ch04.html#Heading219,FALSE
BTS_O31,91,,,,,4.13.5,ch04.html#Heading247,FALSE
BTS_O31,92,,,,,4.13.5,ch04.html#Heading247,FALSE
CCF_I22,8,Collaborative Care Fetch,,,,11.7.2,ch11.html#Heading60,FALSE
CCF_I22,9,Collaborative Care Fetch,,,,11.7.2,ch11.html#Heading63,FALSE
CCF_I22,81,Collaborative Care Fetch,,,,11.6.2,ch11.html#Heading59,FALSE
CCF_I22,91,,,,,11.7.2,ch11.html#Heading63,FALSE
CCF_I22,92,,,,,11.7.2,ch11.html#Heading63,FALSE
CCI_I22,8,Collaborative Care Information,,,,11.7.2,ch11.html#Heading60,FALSE
CCI_I22,9,Collaborative Care Information,,,,11.7.2,ch11.html#Heading63,FALSE
CCI_I22,81,Collaborative Care Information,,,,11.6.2,ch11.html#Heading59,FALSE
CCI_I22,91,,,,,11.7.2,ch11.html#Heading63,FALSE
CCI_I22,92,,,,,11.7.2,ch11.html#Heading63,FALSE
CCM_I21,8,Collaborative Care Message,,,,11.6.1,ch11.html#Heading52,FALSE
CCM_I21,9,Collaborative Care Message,,,,11.6.1,ch11.html#Heading55,FALSE
CCM_I21,81,Collaborative Care Message,,,,11.5.1,ch11.html#Heading51,FALSE
CCM_I21,91,,,,,11.6.1,ch11.html#Heading55,FALSE
CCM_I21,92,,,,,11.6.1,ch11.html#Heading55,FALSE
CCQ_I19,8,Collaborative Care Referral,,,,11.7.1,ch11.html#Heading59,FALSE
CCQ_I19,9,Collaborative Care Referral,,,,11.7.1,ch11.html#Heading62,FALSE
CCQ_I19,81,Collaborative Care Referral,,,,11.6.1,ch11.html#Heading58,FALSE
CCQ_I19,91,,,,,11.7.1,ch11.html#Heading62,FALSE
CCQ_I19,92,,,,,11.7.1,ch11.html#Heading62,FALSE
CCR_I16,8,Collaborative Care Referral,,,,11.6.2,ch11.html#Heading53,FALSE
CCR_I16,9,Collaborative Care Referral,,,,11.6.2,ch11.html#Heading56,FALSE
